date,premise_code,item_code,price
1-Jun-23,20826,1558,7
1-Jun-23,20827,1,9.4
1-Jun-23,20827,1558,5
1-Jun-23,20857,1,9.4
1-Jun-23,20857,69,15.9
1-Jun-23,20857,1558,7.9
1-Jun-23,20870,1,9.29
1-Jun-23,20870,1111,12.3
1-Jun-23,20870,1556,6.19
1-Jun-23,20870,1558,7.99
2-Jun-23,351,1,8.99
2-Jun-23,351,1111,12.3
2-Jun-23,351,1558,6.99
2-Jun-23,368,1,9.4
2-Jun-23,368,1111,12.3
2-Jun-23,382,1,9.2
2-Jun-23,382,69,14
2-Jun-23,382,1556,5.5
2-Jun-23,382,1558,6.99
2-Jun-23,394,2,9.8
2-Jun-23,394,1111,12.3
2-Jun-23,394,1556,5.99
2-Jun-23,394,1558,5.99
2-Jun-23,398,69,13.99
2-Jun-23,398,1558,8.99
2-Jun-23,438,1,9.4
2-Jun-23,438,1111,12.3
2-Jun-23,439,1,9.4
2-Jun-23,439,1111,12.3
2-Jun-23,439,1558,10.9
2-Jun-23,480,1,9.4
2-Jun-23,480,1111,12.3
2-Jun-23,480,1558,6.9
2-Jun-23,524,1,9.4
2-Jun-23,524,55,12
2-Jun-23,524,1558,10
2-Jun-23,527,1,9.3
2-Jun-23,527,1558,7
2-Jun-23,529,1,9.4
2-Jun-23,529,1558,7
2-Jun-23,569,1,8.99
2-Jun-23,569,69,13.9
2-Jun-23,569,1558,3.99
2-Jun-23,600,1,9.4
2-Jun-23,600,1558,8
2-Jun-23,660,1,9.4
2-Jun-23,660,69,13.9
2-Jun-23,660,1558,7.5
2-Jun-23,720,1,9.4
2-Jun-23,720,69,14.5
2-Jun-23,720,1111,12.3
2-Jun-23,725,1,9.4
2-Jun-23,725,69,12.9
2-Jun-23,725,1558,3.9
2-Jun-23,729,2,9.9
2-Jun-23,729,160,12.9
2-Jun-23,729,1556,8
2-Jun-23,729,1558,10.9
2-Jun-23,766,1,9.4
2-Jun-23,766,1558,6
2-Jun-23,777,1,9.4
2-Jun-23,777,69,14
2-Jun-23,777,1111,12.3
2-Jun-23,777,1558,9
2-Jun-23,1407,1,9.4
2-Jun-23,1407,1111,12.3
2-Jun-23,1407,1558,6.9
2-Jun-23,1517,1,9.4
2-Jun-23,1517,1558,6
2-Jun-23,1634,1,9.4
2-Jun-23,1634,1556,8
2-Jun-23,1634,1558,9
2-Jun-23,1652,69,12
2-Jun-23,1652,1556,7
2-Jun-23,1652,1558,8
2-Jun-23,4767,1,9.4
2-Jun-23,4767,1558,6
2-Jun-23,5816,1,9.4
2-Jun-23,5816,1558,6
2-Jun-23,7349,1,9.4
2-Jun-23,7349,69,14.9
2-Jun-23,7349,1558,8.9
2-Jun-23,7961,1,9.4
2-Jun-23,7961,69,12
2-Jun-23,7961,1558,8
2-Jun-23,8582,1,9.4
2-Jun-23,8582,1558,7
2-Jun-23,8757,1,9.4
2-Jun-23,8757,55,10
2-Jun-23,8757,69,14
2-Jun-23,8757,1558,7
2-Jun-23,11551,1,9.4
2-Jun-23,11551,1558,6
2-Jun-23,11617,1,9.4
2-Jun-23,11617,55,14
2-Jun-23,11617,1558,6
2-Jun-23,11677,1,9.4
2-Jun-23,11677,1556,5
2-Jun-23,11677,1558,7
2-Jun-23,11893,1,9.4
2-Jun-23,11893,55,12
2-Jun-23,11893,69,14
2-Jun-23,11893,1558,7
2-Jun-23,12000,1,9.4
2-Jun-23,12000,55,14
2-Jun-23,12000,69,12
2-Jun-23,12000,1111,12.3
2-Jun-23,13715,1,9.39
2-Jun-23,13715,2,9.9
2-Jun-23,13715,160,9.99
2-Jun-23,13715,1111,12.3
2-Jun-23,14406,1,9.4
2-Jun-23,15192,1,8.9
2-Jun-23,15192,1558,3.49
2-Jun-23,15201,1,9.4
2-Jun-23,15201,1558,5.5
2-Jun-23,15563,1,9.4
2-Jun-23,15563,1556,10
2-Jun-23,15563,1558,8
2-Jun-23,15936,1,9.39
2-Jun-23,15936,69,9.99
2-Jun-23,15936,1111,12.3
2-Jun-23,15936,1558,10.99
2-Jun-23,16276,1,9.39
2-Jun-23,16276,69,12.9
2-Jun-23,16276,1558,7.99
2-Jun-23,16460,1,9.39
2-Jun-23,16460,1556,2.29
2-Jun-23,16460,1558,7.29
2-Jun-23,16798,1,9.4
2-Jun-23,16798,69,9
2-Jun-23,16798,1558,6
2-Jun-23,17009,1,9.39
2-Jun-23,17009,69,15.99
2-Jun-23,17009,1556,3.99
2-Jun-23,17009,1558,8.99
2-Jun-23,17217,1,9.4
2-Jun-23,17217,1558,5.5
2-Jun-23,17391,1,9.4
2-Jun-23,17391,69,13.9
2-Jun-23,17391,1558,5.9
2-Jun-23,17428,1,9.4
2-Jun-23,17428,1558,8
2-Jun-23,17637,1,9.4
2-Jun-23,17637,160,13
2-Jun-23,17637,1111,12.3
2-Jun-23,17638,1,9.39
2-Jun-23,17638,69,15.99
2-Jun-23,17638,160,7.99
2-Jun-23,17638,1111,12.3
2-Jun-23,17638,1556,4.29
2-Jun-23,17638,1558,6.19
2-Jun-23,17741,1,9.4
2-Jun-23,17771,1,8.69
2-Jun-23,17771,69,12.99
2-Jun-23,17771,1558,3.49
2-Jun-23,17777,1,9.39
2-Jun-23,17777,55,15.99
2-Jun-23,17777,160,9.2
2-Jun-23,17786,1,9.4
2-Jun-23,17786,1558,8
2-Jun-23,17796,1,9.4
2-Jun-23,17796,69,12.9
2-Jun-23,17796,1111,12.3
2-Jun-23,17796,1558,2.9
2-Jun-23,17798,1,9.4
2-Jun-23,17798,69,16.25
2-Jun-23,17798,160,8.99
2-Jun-23,17798,1111,12
2-Jun-23,17798,1556,4.75
2-Jun-23,17798,1558,5
2-Jun-23,17892,1,9.39
2-Jun-23,17892,160,8.59
2-Jun-23,17892,1111,12.3
2-Jun-23,17892,1558,7.59
2-Jun-23,18343,1,9.4
2-Jun-23,18343,1556,4.99
2-Jun-23,18343,1558,8.99
2-Jun-23,18541,1,9.4
2-Jun-23,18541,69,15.2
2-Jun-23,18541,1558,5.3
2-Jun-23,18542,1,8.29
2-Jun-23,18542,1558,2.99
2-Jun-23,18556,1,9.4
2-Jun-23,18556,1558,4.5
2-Jun-23,18670,1,9.39
2-Jun-23,18670,160,8.59
2-Jun-23,18670,1111,12.3
2-Jun-23,18670,1556,8.99
2-Jun-23,18670,1558,7.59
2-Jun-23,20731,1,9.39
2-Jun-23,20731,2,9.9
2-Jun-23,20731,1556,5.98
2-Jun-23,20731,1558,5.98
2-Jun-23,20825,1,9.4
2-Jun-23,20825,1111,12.3
2-Jun-23,20825,1558,8
2-Jun-23,20826,1111,12.3
2-Jun-23,20826,1558,7
2-Jun-23,20827,1,9.4
2-Jun-23,20827,1558,5
2-Jun-23,20857,1,9.4
2-Jun-23,20857,69,15.9
2-Jun-23,20857,1111,12.3
2-Jun-23,20857,1556,4.9
2-Jun-23,20857,1558,2.9
2-Jun-23,20870,1,9.29
2-Jun-23,20870,1111,12.3
2-Jun-23,20870,1556,6.19
2-Jun-23,20870,1558,4.99
3-Jun-23,351,1,8.99
3-Jun-23,351,1111,12.3
3-Jun-23,351,1558,6.99
3-Jun-23,368,1,9.4
3-Jun-23,368,1111,12.3
3-Jun-23,382,1,9.2
3-Jun-23,382,1558,5.5
3-Jun-23,394,2,9.8
3-Jun-23,394,1111,12.3
3-Jun-23,394,1556,5.99
3-Jun-23,394,1558,5.99
3-Jun-23,398,69,13.99
3-Jun-23,398,1558,8.99
3-Jun-23,438,1,9.4
3-Jun-23,438,1111,12.3
3-Jun-23,439,1,9.4
3-Jun-23,439,1111,12.3
3-Jun-23,439,1558,6.5
3-Jun-23,480,1,9.4
3-Jun-23,480,1111,12.3
3-Jun-23,480,1558,6.9
3-Jun-23,524,1,9.4
3-Jun-23,524,55,12
3-Jun-23,524,1111,12.3
3-Jun-23,524,1558,10
3-Jun-23,527,1,9.3
3-Jun-23,527,1558,7
3-Jun-23,529,1,9.4
3-Jun-23,529,1558,7
3-Jun-23,569,1,8.99
3-Jun-23,569,69,13.9
3-Jun-23,569,1558,3.99
3-Jun-23,600,1,9.4
3-Jun-23,600,1558,8
3-Jun-23,660,1,9.4
3-Jun-23,660,69,13.9
3-Jun-23,660,1558,7.5
3-Jun-23,720,1,9.4
3-Jun-23,720,69,14.5
3-Jun-23,720,1111,12.3
3-Jun-23,725,1,9.4
3-Jun-23,725,1111,12.3
3-Jun-23,725,1558,3.9
3-Jun-23,729,160,12.9
3-Jun-23,729,1556,8
3-Jun-23,766,1,9.4
3-Jun-23,766,1558,6
3-Jun-23,777,1,9.4
3-Jun-23,777,69,14
3-Jun-23,777,1111,12.3
3-Jun-23,777,1558,9
3-Jun-23,1407,1,9.4
3-Jun-23,1407,1111,12.3
3-Jun-23,1407,1558,4.2
3-Jun-23,1517,1,9.4
3-Jun-23,1517,1558,6
3-Jun-23,1634,1,9.4
3-Jun-23,1634,1556,8
3-Jun-23,1634,1558,9
3-Jun-23,1652,69,12
3-Jun-23,1652,1556,7
3-Jun-23,1652,1558,8
3-Jun-23,4767,1,9.4
3-Jun-23,4767,1558,6
3-Jun-23,5816,1,9.4
3-Jun-23,5816,1558,6
3-Jun-23,7349,1,9.4
3-Jun-23,7349,69,14.9
3-Jun-23,7349,1558,8.9
3-Jun-23,7961,1,9.4
3-Jun-23,7961,69,12
3-Jun-23,7961,1558,8
3-Jun-23,8582,1,9.4
3-Jun-23,8582,1558,7
3-Jun-23,8757,1,9.4
3-Jun-23,8757,1558,7
3-Jun-23,9827,1111,12.3
3-Jun-23,11551,1,9.4
3-Jun-23,11551,1558,6
3-Jun-23,11617,1,9.4
3-Jun-23,11617,55,14
3-Jun-23,11617,1558,6
3-Jun-23,11677,1,9.4
3-Jun-23,11677,1558,7
3-Jun-23,11893,1,9.4
3-Jun-23,11893,55,12
3-Jun-23,11893,69,14
3-Jun-23,11893,1558,7
3-Jun-23,12000,1,9.4
3-Jun-23,12000,55,14
3-Jun-23,12000,69,12
3-Jun-23,12000,1111,12.3
3-Jun-23,13715,1,9.39
3-Jun-23,13715,2,9.9
3-Jun-23,13715,160,9.99
3-Jun-23,13715,1111,12.3
3-Jun-23,14406,1,9.4
3-Jun-23,15192,1,8.9
3-Jun-23,15192,1558,3.49
3-Jun-23,15201,1,9.4
3-Jun-23,15201,69,12.9
3-Jun-23,15201,1558,5.5
3-Jun-23,15563,1,9.4
3-Jun-23,15563,69,10
3-Jun-23,15563,1556,10
3-Jun-23,15563,1558,8
3-Jun-23,15936,1,9.39
3-Jun-23,15936,69,9.99
3-Jun-23,15936,1111,12.3
3-Jun-23,15936,1558,10.99
3-Jun-23,16276,1,9.39
3-Jun-23,16276,69,12.9
3-Jun-23,16276,1558,7.99
3-Jun-23,16460,1,9.39
3-Jun-23,16460,1556,2.29
3-Jun-23,16460,1558,7.29
3-Jun-23,16798,1,9.4
3-Jun-23,16798,69,9
3-Jun-23,16798,1558,6
3-Jun-23,17009,1,9.39
3-Jun-23,17009,69,15.99
3-Jun-23,17009,1556,3.99
3-Jun-23,17009,1558,8.99
3-Jun-23,17217,1,9.4
3-Jun-23,17217,1558,5.5
3-Jun-23,17391,1,9.4
3-Jun-23,17391,69,13.9
3-Jun-23,17391,1558,5.9
3-Jun-23,17428,1,9.4
3-Jun-23,17428,1558,8
3-Jun-23,17637,1,9.4
3-Jun-23,17637,160,13
3-Jun-23,17637,1111,12.3
3-Jun-23,17638,1,9.39
3-Jun-23,17638,69,15.99
3-Jun-23,17638,160,7.99
3-Jun-23,17638,1111,12.3
3-Jun-23,17638,1556,4.29
3-Jun-23,17638,1558,6.19
3-Jun-23,17741,1,9.4
3-Jun-23,17771,1,8.69
3-Jun-23,17771,69,12.99
3-Jun-23,17771,1558,3.49
3-Jun-23,17777,1,9.39
3-Jun-23,17777,55,15.99
3-Jun-23,17777,160,9.2
3-Jun-23,17786,1,9.4
3-Jun-23,17786,1558,7
3-Jun-23,17796,1,9.4
3-Jun-23,17796,69,12.9
3-Jun-23,17796,1111,12.3
3-Jun-23,17796,1558,2.9
3-Jun-23,17798,1,9.4
3-Jun-23,17798,69,16.25
3-Jun-23,17798,160,8.99
3-Jun-23,17798,1111,12.3
3-Jun-23,17798,1556,4.75
3-Jun-23,17798,1558,2.9
3-Jun-23,17892,1,9.39
3-Jun-23,17892,160,8.59
3-Jun-23,17892,1111,12.3
3-Jun-23,17892,1558,7.59
3-Jun-23,18343,1,9.4
3-Jun-23,18343,69,10.99
3-Jun-23,18343,1558,8.99
3-Jun-23,18541,1,9.4
3-Jun-23,18541,69,15.2
3-Jun-23,18541,1558,5.3
3-Jun-23,18542,69,14.99
3-Jun-23,18542,1558,5.99
3-Jun-23,18556,1,9.4
3-Jun-23,18556,1558,4.5
3-Jun-23,18670,1,9.39
3-Jun-23,18670,160,8.59
3-Jun-23,18670,1111,12.3
3-Jun-23,18670,1556,8.99
3-Jun-23,18670,1558,7.59
3-Jun-23,20731,1,9.39
3-Jun-23,20731,2,9.9
3-Jun-23,20731,1556,5.98
3-Jun-23,20731,1558,5.98
3-Jun-23,20825,1,9.4
3-Jun-23,20825,1111,12.3
3-Jun-23,20825,1558,8
3-Jun-23,20827,1,9.4
3-Jun-23,20827,1558,5
3-Jun-23,20857,1,9.4
3-Jun-23,20857,69,15.9
3-Jun-23,20857,1111,12.3
3-Jun-23,20857,1558,2.9
3-Jun-23,20870,1,9.29
3-Jun-23,20870,1111,12.3
3-Jun-23,20870,1558,4.99
4-Jun-23,351,1,7.99
4-Jun-23,351,160,8.39
4-Jun-23,351,1111,12.3
4-Jun-23,351,1556,4.99
4-Jun-23,351,1558,7.99
4-Jun-23,368,1,9.4
4-Jun-23,368,1111,12.3
4-Jun-23,382,1,9.2
4-Jun-23,382,1558,5.5
4-Jun-23,394,2,9.8
4-Jun-23,394,1111,12.3
4-Jun-23,394,1556,5.99
4-Jun-23,394,1558,3.99
4-Jun-23,398,1558,8.99
4-Jun-23,438,1,9.4
4-Jun-23,438,1111,12.3
4-Jun-23,439,1,9.4
4-Jun-23,439,1111,12.3
4-Jun-23,439,1558,6.5
4-Jun-23,480,1,9.4
4-Jun-23,480,1558,6.9
4-Jun-23,524,1,9.4
4-Jun-23,524,1111,12.3
4-Jun-23,524,1558,8
4-Jun-23,527,1,9.3
4-Jun-23,527,69,10
4-Jun-23,527,1558,7
4-Jun-23,529,1,9.4
4-Jun-23,529,1558,7
4-Jun-23,569,1,8.99
4-Jun-23,569,69,13.9
4-Jun-23,569,1111,12.3
4-Jun-23,569,1558,3.99
4-Jun-23,600,1,9.4
4-Jun-23,600,1558,7
4-Jun-23,660,1,9.4
4-Jun-23,660,69,13.9
4-Jun-23,660,1111,12.3
4-Jun-23,660,1558,4.9
4-Jun-23,720,1,9.4
4-Jun-23,725,1,9.4
4-Jun-23,725,1558,3.9
4-Jun-23,729,2,9.9
4-Jun-23,729,160,12.9
4-Jun-23,729,1556,8
4-Jun-23,729,1558,10.9
4-Jun-23,766,1,9.4
4-Jun-23,766,1558,6
4-Jun-23,777,1,9.4
4-Jun-23,777,69,14
4-Jun-23,777,1111,12.3
4-Jun-23,777,1558,8
4-Jun-23,1407,1,9.4
4-Jun-23,1407,1111,12.3
4-Jun-23,1407,1558,4.2
4-Jun-23,1517,1,9.4
4-Jun-23,1517,1558,6
4-Jun-23,1634,1,9.4
4-Jun-23,1634,1556,8
4-Jun-23,1634,1558,9
4-Jun-23,1652,69,12
4-Jun-23,1652,1556,7
4-Jun-23,1652,1558,6
4-Jun-23,4767,1,9.4
4-Jun-23,4767,1558,6
4-Jun-23,5816,1,9.4
4-Jun-23,5816,1558,6
4-Jun-23,7349,1,9.4
4-Jun-23,7349,69,14.9
4-Jun-23,7349,1558,7.9
4-Jun-23,7961,1,9.4
4-Jun-23,7961,69,10
4-Jun-23,7961,1558,8
4-Jun-23,8582,1,9.4
4-Jun-23,8582,1558,7
4-Jun-23,8757,1,9.4
4-Jun-23,8757,1558,7
4-Jun-23,9827,1111,11.99
4-Jun-23,11551,1,9.4
4-Jun-23,11551,1558,6
4-Jun-23,11617,1,9.4
4-Jun-23,11617,55,14
4-Jun-23,11617,1558,6
4-Jun-23,11677,1,9.4
4-Jun-23,11677,1558,7
4-Jun-23,11893,1,9.4
4-Jun-23,11893,55,12
4-Jun-23,11893,69,14
4-Jun-23,11893,1558,7
4-Jun-23,12000,1,9.4
4-Jun-23,12000,55,14
4-Jun-23,12000,69,12
4-Jun-23,12000,1111,12.3
4-Jun-23,13715,1,9.39
4-Jun-23,13715,2,9.9
4-Jun-23,13715,160,9.99
4-Jun-23,13715,1111,12.3
4-Jun-23,14406,1,9.4
4-Jun-23,15192,1,8.9
4-Jun-23,15201,1,9.4
4-Jun-23,15201,1558,5.5
4-Jun-23,15563,1,9.4
4-Jun-23,15563,69,10
4-Jun-23,15563,1556,10
4-Jun-23,15563,1558,8
4-Jun-23,15936,1,9.39
4-Jun-23,15936,69,9.99
4-Jun-23,15936,1111,12.3
4-Jun-23,15936,1558,4.99
4-Jun-23,16276,1,9.39
4-Jun-23,16276,69,12.9
4-Jun-23,16276,1111,12.29
4-Jun-23,16276,1558,7.99
4-Jun-23,16460,1,9.39
4-Jun-23,16460,1556,2.29
4-Jun-23,16460,1558,3.79
4-Jun-23,16798,1,9.4
4-Jun-23,16798,69,9
4-Jun-23,16798,1558,6
4-Jun-23,17009,1,9.39
4-Jun-23,17009,69,15.99
4-Jun-23,17009,1556,2.99
4-Jun-23,17009,1558,7.99
4-Jun-23,17217,1,9.4
4-Jun-23,17217,1558,5.5
4-Jun-23,17391,1,9.4
4-Jun-23,17391,1558,5.9
4-Jun-23,17428,1,9.4
4-Jun-23,17428,1558,8
4-Jun-23,17637,1,9.4
4-Jun-23,17637,160,13
4-Jun-23,17637,1111,12.3
4-Jun-23,17638,1,9.39
4-Jun-23,17638,69,15.99
4-Jun-23,17638,160,7.99
4-Jun-23,17638,1111,12.3
4-Jun-23,17638,1556,4.29
4-Jun-23,17638,1558,6.19
4-Jun-23,17741,1,9.4
4-Jun-23,17771,1,8.69
4-Jun-23,17771,1558,3.49
4-Jun-23,17777,1,9.39
4-Jun-23,17777,55,15.99
4-Jun-23,17777,160,9.2
4-Jun-23,17786,1,9.4
4-Jun-23,17786,1111,12.3
4-Jun-23,17786,1558,6
4-Jun-23,17796,1,9.4
4-Jun-23,17796,69,12.9
4-Jun-23,17796,1556,3.9
4-Jun-23,17796,1558,5.9
4-Jun-23,17798,1,9.4
4-Jun-23,17798,69,16.25
4-Jun-23,17798,160,8.99
4-Jun-23,17798,1111,12.3
4-Jun-23,17798,1556,4.4
4-Jun-23,17798,1558,2.9
4-Jun-23,17892,1,9.39
4-Jun-23,17892,69,15.99
4-Jun-23,17892,160,8.59
4-Jun-23,17892,1558,7.59
4-Jun-23,18343,1,9.4
4-Jun-23,18343,69,10.99
4-Jun-23,18343,1558,8.99
4-Jun-23,18541,1,9.4
4-Jun-23,18541,69,15.8
4-Jun-23,18541,1558,5.2
4-Jun-23,18542,69,14.99
4-Jun-23,18542,1558,4.99
4-Jun-23,18556,1,9.4
4-Jun-23,18556,1558,4.5
4-Jun-23,18670,1,9.39
4-Jun-23,18670,160,8.59
4-Jun-23,18670,1111,12.3
4-Jun-23,18670,1556,8.99
4-Jun-23,18670,1558,7.59
4-Jun-23,20731,1,9.39
4-Jun-23,20731,2,9.9
4-Jun-23,20731,1111,12.3
4-Jun-23,20731,1556,6.58
4-Jun-23,20731,1558,5.98
